,Colony,Pollen,Pesticide,Group
Q077,F2,Erica,IMD-A,H_IMDA
Q079,F2,Mixed,IMD-A,M_IMDA
Q080,F4,Mixed,untreated,M_CTL
Q085,F2,Cistus,untreated,R_CTL
Q101B,F3,Mixed,IMD-B,M_IMDB
Q108,F2,Mixed,IMD-A,M_IMDA
Q111,F4,Mixed,IMD-A,M_IMDA
Q114,F3,Erica,IMD-A,H_IMDA
Q118,F4,Cistus,untreated,R_CTL
Q119,F4,Mixed,untreated,M_CTL
Q122,F2,Erica,IMD-B,H_IMDB
Q130,F2,Mixed,IMD-B,M_IMDB
Q138B,F4,Cistus,IMD-B,R_IMDB
Q141,F4,Mixed,IMD-B,M_IMDB
Q145B,F3,Cistus,IMD-A,R_IMDA
Q154B,F4,Erica,IMD-A,H_IMDA
Q155B,F4,Cistus,IMD-A,R_IMDA
Q158,F3,Mixed,IMD-A,M_IMDA
Q166,F4,Mixed,IMD-A,M_IMDA
Q168B,F3,Erica,IMD-B,H_IMDB
Q172,F3,Mixed,IMD-A,M_IMDA
Q180,F3,Mixed,untreated,M_CTL
Q186,F4,Erica,IMD-B,H_IMDB
Q196B,F4,Erica,IMD-A,H_IMDA
Q197,F4,Cistus,IMD-A,R_IMDA
Q203,F3,Mixed,untreated,M_CTL
Q209,F2,Cistus,IMD-B,R_IMDB
Q210,F3,Cistus,IMD-A,R_IMDA
Q225B,F3,Cistus,IMD-B,R_IMDB
Q29B,F4,Erica,untreated,H_CTL
Q31B,F2,Erica,untreated,H_CTL
Q35B,F2,Erica,IMD-A,H_IMDA
Q36B,F4,Mixed,untreated,M_CTL
Q37B,F2,Cistus,IMD-A,R_IMDA
Q38B,F3,Mixed,IMD-A,M_IMDA
Q41B,F3,Cistus,untreated,R_CTL
Q44B,F3,Erica,IMD-A,H_IMDA
Q48B,F2,Mixed,IMD-A,M_IMDA
Q50B,F2,Erica,untreated,H_CTL
Q51B,F4,Mixed,IMD-A,M_IMDA
Q53B,F3,Erica,untreated,H_CTL
Q54B,F2,Cistus,untreated,R_CTL
Q55B,F2,Mixed,untreated,M_CTL
Q57B,F3,Cistus,untreated,R_CTL
Q63B,F3,Erica,untreated,H_CTL
Q70B,F4,Erica,untreated,H_CTL
Q71B,F4,Cistus,untreated,R_CTL
Q76B,F2,Mixed,untreated,M_CTL
Q78B,F2,Cistus,IMD-A,R_IMDA
Q81B,F3,Erica,IMD-B,H_IMDB
Q90B,F2,Erica,IMD-B,H_IMDB
Q91B,F2,Cistus,IMD-B,R_IMDB
Q93B,F2,Mixed,IMD-B,M_IMDB
Q96B,F4,Mixed,IMD-B,M_IMDB